"TRANSECT","1867-01-01","1924-10-01","1933-11-24","1951-05-12","1974-04-18","2003-11-25","2006-03-01","1867-01-01 to 1867-01-01","1867-01-01 to 1924-10-01","1867-01-01 to 1933-11-24","1867-01-01 to 1951-05-12","1867-01-01 to 1974-04-18","1867-01-01 to 2003-11-25","1867-01-01 to 2006-03-01","1924-10-01 to 1924-10-01","1924-10-01 to 1933-11-24","1924-10-01 to 1951-05-12","1924-10-01 to 1974-04-18","1924-10-01 to 2003-11-25","1924-10-01 to 2006-03-01","1933-11-24 to 1933-11-24","1933-11-24 to 1951-05-12","1933-11-24 to 1974-04-18","1933-11-24 to 2003-11-25","1933-11-24 to 2006-03-01","1951-05-12 to 1951-05-12","1951-05-12 to 1974-04-18","1951-05-12 to 2003-11-25","1951-05-12 to 2006-03-01","1974-04-18 to 1974-04-18","1974-04-18 to 2003-11-25","1974-04-18 to 2006-03-01","2003-11-25 to 2003-11-25","2003-11-25 to 2006-03-01","2006-03-01 to 2006-03-01","1867-01-01 to 1867-01-01 EPR","1867-01-01 to 1924-10-01 EPR","1867-01-01 to 1933-11-24 EPR","1867-01-01 to 1951-05-12 EPR","1867-01-01 to 1974-04-18 EPR","1867-01-01 to 2003-11-25 EPR","1867-01-01 to 2006-03-01 EPR","1924-10-01 to 1924-10-01 EPR","1924-10-01 to 1933-11-24 EPR","1924-10-01 to 1951-05-12 EPR","1924-10-01 to 1974-04-18 EPR","1924-10-01 to 2003-11-25 EPR","1924-10-01 to 2006-03-01 EPR","1933-11-24 to 1933-11-24 EPR","1933-11-24 to 1951-05-12 EPR","1933-11-24 to 1974-04-18 EPR","1933-11-24 to 2003-11-25 EPR","1933-11-24 to 2006-03-01 EPR","1951-05-12 to 1951-05-12 EPR","1951-05-12 to 1974-04-18 EPR","1951-05-12 to 2003-11-25 EPR","1951-05-12 to 2006-03-01 EPR","1974-04-18 to 1974-04-18 EPR","1974-04-18 to 2003-11-25 EPR","1974-04-18 to 2006-03-01 EPR","2003-11-25 to 2003-11-25 EPR","2003-11-25 to 2006-03-01 EPR","2006-03-01 to 2006-03-01 EPR"
11,-519.469075904882,-372.927970080493,-350.582215826028,-277.843832444952,-111.479754645074,-19.3471885425656,-5.1275514393045,0,146.541105824390,168.886860078854,241.62524345993,407.989321259808,500.121887362317,514.341524465578,0,22.3457542544645,95.0841376355403,261.448215435419,353.580781537927,367.800418641188,0,72.7383833810758,239.102461180954,331.235027283463,345.454664386724,0,166.364077799878,258.496643902387,272.716281005648,0,92.1325661025083,106.352203205769,0,14.2196371032611,0,NA,2.53591426255937,2.52296909625432,2.8623937510264,3.8000434382931,3.65081676140968,3.69352829995152,NA,2.44124522684213,3.57091369862869,5.2734636734045,4.46424937774891,4.51463387153732,NA,4.16267010569029,5.91476776218558,4.72859765951439,4.77707719269385,NA,7.24876308904806,4.9166896833961,4.97284520992464,NA,3.10999598884819,3.33492733420153,NA,6.27589787507896,NA
12,-538.243785471080,-374.784741531945,-358.558683346611,-302.860712410116,-155.05693109984,-20.0688144633646,-4.6894334598709,0,163.459043939134,179.685102124469,235.383073060963,383.18685437124,518.174971007715,533.554352011209,0,16.2260581853349,71.9240291218293,219.727810432106,354.715927068581,370.095308072075,0,55.6979709364944,203.501752246771,338.489868883246,353.86924988674,0,147.803781310276,282.791897946752,298.171278950245,0,134.988116636475,150.367497639969,0,15.3793810034937,0,NA,2.82868153981528,2.68428200693452,2.78844638821368,3.56903138321687,3.78260163632359,3.83149717643998,NA,1.77267621599737,2.7011287817129,4.43195462023202,4.47858152755308,4.54280291385214,NA,3.18748187391353,5.03409959810717,4.83216529029978,4.89343724980716,NA,6.44005970851747,5.37879326475062,5.43700438711293,NA,4.55661357369033,4.71513201362446,NA,6.78775582379105,NA
13,-549.456173628571,-365.910978474264,-353.283674197388,-327.065517404584,-183.703852231932,-21.7632931006822,-5.1281737557137,0,183.545195154307,196.172499431183,222.390656223987,365.752321396639,527.692880527889,544.327999872857,0,12.6273042768761,38.8454610696805,182.207126242332,344.147685373582,360.782804718551,0,26.2181567928044,169.579821965456,331.520381096706,348.155500441675,0,143.361665172651,305.302224303902,321.93734364887,0,161.940559131250,178.575678476219,0,16.6351193449685,0,NA,3.17627518638924,2.93058413999025,2.63453278120656,3.406644822644,3.85208098623386,3.90886361756498,NA,1.37951692938036,1.45885310118669,3.67515478992325,4.34514874818768,4.428494879011,NA,1.50041192056657,4.19496001473341,4.73267127269625,4.81442537076004,NA,6.24650922621676,5.80694694481105,5.87036670988847,NA,5.466411179405,5.59966689379895,NA,7.34198133121343,NA
14,-562.227018546837,-356.336260297335,-362.408434707366,-348.946583478446,-218.472205376616,-42.7928232862079,-5.2192047719683,0,205.890758249502,199.818583839471,213.280435068391,343.754813170220,519.434195260629,557.007813774868,0,-6.07217441003064,7.38967681888909,137.864054920719,313.543437011127,351.117055525367,0,13.4618512289197,143.936229330750,319.615611421158,357.189229935398,0,130.47437810183,306.153760192238,343.727378706478,0,175.679382090408,213.253000604648,0,37.5736185142396,0,NA,3.56296827048493,2.98505231045745,2.52660928888912,3.20175836498751,3.7917937895268,3.99991839198526,NA,-0.663377330039265,0.277521559717514,2.78074602376561,3.95874483756136,4.30985086315439,NA,0.770394433765397,3.56060479198398,4.56272286329485,4.93934718417958,NA,5.68498842153133,5.82314343252563,6.2676971188422,NA,5.93017427753621,6.68705714954437,NA,16.5832778206741,NA
15,-571.93609746176,-374.233711168453,-385.493063894667,-384.606171463739,-271.798699714515,-60.233923762631,-4.9694642696667,0,197.702386293307,186.443033567093,187.329925998021,300.137397747245,511.702173699129,566.966633192093,0,-11.2593527262140,-10.3724602952855,102.435011453938,313.999787405822,369.264246898786,0,0.88689243092847,113.694364180152,325.259140132036,380.523599625,0,112.807471749224,324.372247701108,379.636707194072,0,211.564775951884,266.829235444848,0,55.2644594929643,0,NA,3.4212673524112,2.78523747603605,2.21918869849332,2.7955024542652,3.73535116098042,4.07143348381038,NA,-1.23006996260644,-0.389540900069885,2.06613501219538,3.96450663817929,4.53260190066105,NA,0.0507550544510648,2.81250036772319,4.6432879438436,5.26202363565543,NA,4.91521155407267,6.16966495106328,6.92248579336745,NA,7.14150959238301,8.36706794994583,NA,24.3912064267618,NA
16,-583.544411811675,-411.215897672968,-401.243188363952,-432.821577839531,-345.201074543368,-67.9659019996226,-5.1675888553506,0,172.328514138707,182.301223447724,150.722833972145,238.343337268307,515.578509812053,578.376822956325,0,9.97270930901618,-21.6056801665629,66.0148231296,343.249995673345,406.048308817617,0,-31.5783894755791,56.0421138205838,333.277286364329,396.075599508601,0,87.6205032961629,364.855675839908,427.65398898418,0,277.235172543745,340.033485688017,0,62.798313144272,0,NA,2.98216895792851,2.72336375223751,1.78552576676618,2.21994789483853,3.76364784867101,4.15337098408473,NA,1.08950580598351,-0.811407887724606,1.33153240728913,4.33381467434954,4.98411463271557,NA,-1.80716716189814,1.38633490643938,4.75775224980366,5.47708254671867,NA,3.817772914301,6.93967283384922,7.79805695055332,NA,9.35825746587136,10.6625620512136,NA,27.716305075767,NA
17,-613.368160472624,-448.66915800977,-428.856596028283,-473.575708459725,-412.516044639611,-77.9112759499764,-5.4472943847967,0,164.699002462855,184.511564444342,139.792452012899,200.852115833013,535.456884522648,607.920866087828,0,19.8125619814870,-24.9065504499557,36.1531133701584,370.757882059793,443.221863624973,0,-44.7191124314427,16.3405513886714,350.945320078306,423.409301643486,0,61.0596638201141,395.664432509749,468.128414074929,0,334.604768689635,407.068750254815,0,72.4639815651797,0,NA,2.85013919490527,2.75638362142122,1.65603988785525,1.87075181889991,3.90875708187369,4.36552915955885,NA,2.16449719342794,-0.935373074825994,0.729215648768115,4.68112445784443,5.44040826685214,NA,-2.55918407611737,0.404222382708577,5.00997504022926,5.85506327334239,NA,2.66047239994528,7.52566533955489,8.5360878821676,NA,11.2948063046071,12.7646128731106,NA,31.9822893244143,NA
18,-646.554957144593,-487.412299375404,-452.914859128001,-501.936595468744,-497.648401196312,-76.9033547810122,-5.024032649791,0,159.142657769189,193.640098016593,144.618361675849,148.906555948281,569.651602363581,641.530924494802,0,34.4974402474034,-14.5242960933404,-10.2361018209086,410.508944594392,482.388266725613,0,-49.0217363407438,-44.733542068312,376.011504346988,447.890826478209,0,4.28819427243184,425.033240687732,496.912562818953,0,420.7450464153,492.624368546521,0,71.8793221312212,0,NA,2.75398587548616,2.8927530706854,1.71320963330255,1.3869269399082,4.15837352978355,4.60688572126786,NA,3.76880146372411,-0.545464355805047,-0.206464255339944,5.18301445144948,5.92116348381923,NA,-2.80541451307173,-1.10659050185929,5.36781129093596,6.19360301816808,NA,0.186843847372284,8.08426955971976,9.06095246185332,NA,14.2025286175515,15.4474136185121,NA,31.7242473735136,NA
19,-659.19080148656,-503.208094308454,-458.153041042668,-496.346686680609,-498.080509098297,-49.4192372543746,-5.0208867098944,0,155.982707178106,201.037760443892,162.844114805951,161.110292388263,609.771564232185,654.169914776666,0,45.055053265786,6.8614076278447,5.12758521015689,453.788857054080,498.18720759856,0,-38.1936456379413,-39.9274680556291,408.733803788294,453.132154332774,0,-1.73382241768780,446.927449426235,491.325799970715,0,448.661271843923,493.059622388403,0,44.3983505444802,0,NA,2.69930249004403,3.00326536086525,1.92911953212074,1.50059346539032,4.45124339402707,4.69764733795316,NA,4.92220725591496,0.257682249630962,0.103424436433868,5.72945908972081,6.11509048875014,NA,-2.18574485071317,-0.987700836347314,5.83494361634571,6.26608207355417,NA,-0.075545563143852,8.5007044836152,8.95908063092926,NA,15.1448593566107,15.4610620422480,NA,19.5954025982289,NA
20,-614.648309071552,-460.707503501464,-403.793703482776,-420.570767441099,-436.468809241907,-31.8104448315961,-8.9891266948196,0,153.940805570088,210.854605588776,194.077541630453,178.179499829644,582.837864239956,605.659182376732,0,56.9138000186875,40.1367360603652,24.2386942595564,428.897058669868,451.718376806644,0,-16.7770639583223,-32.6751057591311,371.98325865118,394.804576787957,0,-15.8980418008088,388.760322609503,411.581640746279,0,404.658364410311,427.479682547088,0,22.8213181367765,0,NA,2.66396709809796,3.14991736749081,2.29912377706389,1.65957735627795,4.25463131632535,4.34928782496867,NA,6.21776025346332,1.50734732606578,0.488899392392689,5.4151795777959,5.54470028028064,NA,-0.960117332202517,-0.808296414915815,5.31030543678351,5.45950636588764,NA,-0.692704459507604,7.39434693863827,7.50498570576969,NA,13.6595119772277,13.4046464028941,NA,10.0722867230029,NA
