"1867-01-01 to 1867-01-01 EPR","1867-01-01 to 1924-10-01 EPR","1867-01-01 to 1933-11-24 EPR","1867-01-01 to 1951-05-12 EPR","1867-01-01 to 1974-04-18 EPR","1867-01-01 to 2003-11-25 EPR","1867-01-01 to 2006-03-01 EPR","1924-10-01 to 1924-10-01 EPR","1924-10-01 to 1933-11-24 EPR","1924-10-01 to 1951-05-12 EPR","1924-10-01 to 1974-04-18 EPR","1924-10-01 to 2003-11-25 EPR","1924-10-01 to 2006-03-01 EPR","1933-11-24 to 1933-11-24 EPR","1933-11-24 to 1951-05-12 EPR","1933-11-24 to 1974-04-18 EPR","1933-11-24 to 2003-11-25 EPR","1933-11-24 to 2006-03-01 EPR","1951-05-12 to 1951-05-12 EPR","1951-05-12 to 1974-04-18 EPR","1951-05-12 to 2003-11-25 EPR","1951-05-12 to 2006-03-01 EPR","1974-04-18 to 1974-04-18 EPR","1974-04-18 to 2003-11-25 EPR","1974-04-18 to 2006-03-01 EPR","2003-11-25 to 2003-11-25 EPR","2003-11-25 to 2006-03-01 EPR","2006-03-01 to 2006-03-01 EPR"
NA,1.82213500169898,2.35309118995775,2.42324209619743,2.37191086282999,2.13886817841187,2.11009255665597,NA,5.70506003843242,3.72775396338143,3.01270841272915,2.36995663402182,2.31434332169340,NA,2.69197792124513,2.40307460849502,1.93415483199837,1.88515656091957,NA,2.18311217221471,1.68228429196627,1.62807974440579,NA,1.29428511016278,1.22863759253678,NA,0.37029828408456,NA
NA,1.76946079721523,2.41002956561536,2.6384153074223,2.61615009474454,2.36574851141439,2.33045862259328,NA,6.45399139234255,4.52420484639623,3.60301850010972,2.80079989568534,2.72837919472383,NA,3.51332105053441,2.95746780997418,2.32343315638889,2.25680236758823,NA,2.53425759530387,1.92796129662547,1.85643886857086,NA,1.45825408363841,1.36863066635072,NA,0.196807194607242,NA
NA,1.87364271292096,2.41936817880678,2.74393226411503,2.85339635494892,2.53900942573403,2.53860527379937,NA,5.86457665724550,4.63261908516508,3.99535943063713,3.02446083210068,3.01026892506542,NA,3.98728038207309,3.57210936258572,2.65333962700803,2.64897920605752,NA,3.25601042952013,2.20999027131209,2.22255741954468,NA,1.39962211582253,1.47880863392920,NA,2.51416996438556,NA
NA,1.88955112312492,2.28653343628232,2.78290054939045,3.03797280910839,2.66177560084074,2.66440113096747,NA,4.79271450456004,4.72163149895241,4.37652885468549,3.22519040882379,3.21400889144014,NA,4.68439595148689,4.28229122295179,3.02036023032509,3.01418106596434,NA,3.97614057730336,2.46730031216094,2.48200189126970,NA,1.29837819053900,1.40670981455973,NA,2.82314252379335,NA
NA,1.96077984725394,2.24273298494306,2.87026581052395,3.26137229442352,2.81478783743686,2.80941005380877,NA,4.02272567579581,4.84401598413143,4.77729271306304,3.43787187801033,3.41135074242374,NA,5.27423406505795,4.94815062370416,3.36144835883005,3.33396473551348,NA,4.69988033733023,2.72571374526457,2.71573833875900,NA,1.19629604973752,1.28780384373913,NA,2.48426548405287,NA
NA,2.06791606777759,2.26809683672951,2.94558611675,3.4998042042889,2.96042642058224,2.94486056408624,NA,3.53185402880792,4.85028996209686,5.16875781698213,3.61160177640069,3.5668848214222,NA,5.54092879137223,5.53940475404007,3.62202250640333,3.57131891417175,NA,5.53824439709791,2.98425365358772,2.94374376321083,NA,1.00563713103293,1.07655030873729,NA,2.00373796353445,NA
NA,2.18011431092848,2.31135111147645,2.99321147083938,3.77893801379493,3.14801294459325,3.11367522468392,NA,3.13985952128118,4.75778038706950,5.642465287273,3.85419157343746,3.77585799280773,NA,5.60529898421576,6.20913461049758,3.94753416520272,3.85636077338626,NA,6.66887719428957,3.39655844786738,3.29909805126653,NA,0.861442001110817,0.873957168010176,NA,1.03759259688898,NA
NA,2.31239654224284,2.36560378683343,3.00883752602873,3.92626494819971,3.29667772404121,3.2717579627772,NA,2.70150537405428,4.52024129493623,5.80732774762732,4.01480905637686,3.95224125178416,NA,5.47295322840543,6.51058444366986,4.18641996073542,4.11055565100732,NA,7.3006061568078,3.75882698620705,3.67645604823742,NA,1.01495533984412,1.06825111185477,NA,1.76509171977643,NA
NA,2.36347236922999,2.38504359457322,2.97607605316487,3.92968289964789,3.44520650522639,3.40738131157418,NA,2.52122446405520,4.30553761315605,5.75519751655629,4.23443949137035,4.14783488340372,NA,5.24021779991459,6.48747159099927,4.45830727165274,4.35372635569179,NA,7.43709373252227,4.19843101582918,4.07126432685365,NA,1.68938842101386,1.64896596505932,NA,1.12044357541422,NA
NA,2.41136525252851,2.35085210010133,2.92666717524813,3.85384032206296,3.55866451247439,3.58046523918782,NA,1.96882773284776,4.04496619304856,5.53513365576215,4.39573379853681,4.40971789316340,NA,5.13251379347673,6.34265843302118,4.71286040857542,4.71867845484609,NA,7.26402676428709,4.57338415589691,4.58681844636399,NA,2.48890129910558,2.66010246017483,NA,4.89855246578766,NA
NA,2.53591426255937,2.52296909625432,2.8623937510264,3.8000434382931,3.65081676140968,3.69352829995152,NA,2.44124522684213,3.57091369862869,5.2734636734045,4.46424937774891,4.51463387153732,NA,4.16267010569029,5.91476776218558,4.72859765951439,4.77707719269385,NA,7.24876308904806,4.9166896833961,4.97284520992464,NA,3.10999598884819,3.33492733420153,NA,6.27589787507896,NA
