TRANSECT,ID,DATE,DISTANCE,ACCURACY,TRANSECT,TRANSPACE,TRANDIST,LOCATION,MAXBNUM,BASEORDER,OFFSHORE,CASTDIR,BASE_LOC,STARTX,STARTY,ENDX,ENDY,AZIMUTH,ACCURACY,SHORE_LOC,CLASS_1,CLASS_2,CLASS_3,DATE,X_COORD,Y_COORD,DISTANCE,CREATOR,Setup.T.Min.Date,Setup.Min.Date.Position,Setup.Min.Date.Dist
1,101,1867-01-01,-299.561848052792,7.21,1,100,304.899341104387,undefined,0,0,1,1,undefined,460021.74333,3431984.76872,459781.123814448,3432172.0275167,307.891342467311,7.21,NA,NA,NA,NA,1867-01-01,459785.336040646,3432168.74941015,299.561848052792,R - AMBUR,-37620,1,-299.561848052792
1,393,1924-10-01,-194.267405708039,13.84,1,100,304.899341104387,undefined,0,0,1,1,undefined,460021.74333,3431984.76872,459781.123814448,3432172.0275167,307.891342467311,13.84,NA,NA,NA,NA,1924-10-01,459868.431981803,3432104.08114783,194.267405708039,R - AMBUR,-37620,1,-299.561848052792
1,846,1933-11-24,-142.046568479538,4.85,1,100,304.899341104387,undefined,0,0,1,1,undefined,460021.74333,3431984.76872,459781.123814448,3432172.0275167,307.891342467311,4.85,NA,NA,NA,NA,1933-11-24,459909.643460025,3432072.00888717,142.046568479538,R - AMBUR,-37620,1,-299.561848052792
1,1082,1951-05-12,-95.0070200365205,3.65,1,100,304.899341104387,undefined,0,0,1,1,undefined,460021.74333,3431984.76872,459781.123814448,3432172.0275167,307.891342467311,3.65,NA,NA,NA,NA,1951-05-12,459946.765984846,3432043.11879772,95.0070200365205,R - AMBUR,-37620,1,-299.561848052792
1,1371,1974-04-18,-44.9031004018832,7.21,1,100,304.899341104387,undefined,0,0,1,1,undefined,460021.74333,3431984.76872,459781.123814448,3432172.0275167,307.891342467311,7.21,NA,NA,NA,NA,1974-04-18,459986.306840612,3432012.34667579,44.9031004018832,R - AMBUR,-37620,1,-299.561848052792
1,1691,2003-11-25,-6.5603472616361,5,1,100,304.899341104387,undefined,0,0,1,1,undefined,460021.74333,3431984.76872,459781.123814448,3432172.0275167,307.891342467311,5,NA,NA,NA,NA,2003-11-25,460016.566055513,3431988.79786198,6.5603472616361,R - AMBUR,-37620,1,-299.561848052792
1,1809,2006-03-01,-5.7213426563267,5,1,100,304.899341104387,undefined,0,0,1,1,undefined,460021.74333,3431984.76872,459781.123814448,3432172.0275167,307.891342467311,5,NA,NA,NA,NA,2006-03-01,460017.228178562,3431988.28257391,5.7213426563267,R - AMBUR,-37620,1,-299.561848052792
2,147,1867-01-01,-329.724836772562,7.21,2,100,334.724837715039,undefined,0,0,1,1,undefined,459982.365089232,3431892.92614939,459729.969421269,3432112.78324793,311.058507155812,7.21,NA,NA,NA,NA,1867-01-01,459733.739618265,3432109.49910055,329.724836772562,R - AMBUR,-37620,1,-329.724836772562
2,386,1924-10-01,-227.474241882525,13.84,2,100,334.724837715039,undefined,0,0,1,1,undefined,459982.365089232,3431892.92614939,459729.969421269,3432112.78324793,311.058507155812,13.84,NA,NA,NA,NA,1924-10-01,459810.840580874,3432042.33790848,227.474241882525,R - AMBUR,-37620,1,-329.724836772562
2,844,1933-11-24,-168.398117932343,4.85,2,100,334.724837715039,undefined,0,0,1,1,undefined,459982.365089232,3431892.92614939,459729.969421269,3432112.78324793,311.058507155812,4.85,NA,NA,NA,NA,1933-11-24,459855.386297489,3432003.53497622,168.398117932343,R - AMBUR,-37620,1,-329.724836772562
