TRANSECT,ID,DATE,DISTANCE,ACCURACY,TRANSECT,TRANSPACE,TRANDIST,LOCATION,MAXBNUM,BASEORDER,OFFSHORE,CASTDIR,BASE_LOC,STARTX,STARTY,ENDX,ENDY,AZIMUTH,ACCURACY,SHORE_LOC,CLASS_1,CLASS_2,CLASS_3,DATE,X_COORD,Y_COORD,DISTANCE,CREATOR,Setup.T.Min.Date,Setup.Min.Date.Position,Setup.Min.Date.Dist
2,1068,1951-05-12,-107.006442150676,3.65,2,100,334.724837715039,undefined,0,0,1,1,undefined,459982.365089232,3431892.92614939,459729.969421269,3432112.78324793,311.058507155812,3.65,NA,NA,NA,NA,1951-05-12,459901.678031088,3431963.21112154,107.006442150676,R - AMBUR,-37620,1,-329.724836772562
2,1430,1974-04-18,-48.8434945455787,7.21,2,100,334.724837715039,undefined,0,0,1,1,undefined,459982.365089232,3431892.92614939,459729.969421269,3432112.78324793,311.058507155812,7.21,NA,NA,NA,NA,1974-04-18,459945.535176891,3431925.00799031,48.8434945455787,R - AMBUR,-37620,1,-329.724836772562
2,1743,2003-11-25,-5.6432167198741,5,2,100,334.724837715039,undefined,0,0,1,1,undefined,459982.365089232,3431892.92614939,459729.969421269,3432112.78324793,311.058507155812,5,NA,NA,NA,NA,2003-11-25,459978.109882289,3431896.63277978,5.6432167198741,R - AMBUR,-37620,1,-329.724836772562
2,1818,2006-03-01,-5.1973001446955,5,2,100,334.724837715039,undefined,0,0,1,1,undefined,459982.365089232,3431892.92614939,459729.969421269,3432112.78324793,311.058507155812,5,NA,NA,NA,NA,2006-03-01,459978.446120892,3431896.33988868,5.1973001446955,R - AMBUR,-37620,1,-329.724836772562
3,97,1867-01-01,-358.770311351835,7.21,3,100,363.689337080275,undefined,0,0,1,1,undefined,459941.528946827,3431801.71089635,459666.907252478,3432040.14927183,308.589191643701,7.21,NA,NA,NA,NA,1867-01-01,459670.621607128,3432036.92430924,358.770311351835,R - AMBUR,-37620,1,-358.770311351835
3,385,1924-10-01,-250.499428883537,13.84,3,100,363.689337080275,undefined,0,0,1,1,undefined,459941.528946827,3431801.71089635,459666.907252478,3432040.14927183,308.589191643701,13.84,NA,NA,NA,NA,1924-10-01,459752.376913540,3431965.94083325,250.499428883537,R - AMBUR,-37620,1,-358.770311351835
3,830,1933-11-24,-196.818468303106,4.85,3,100,363.689337080275,undefined,0,0,1,1,undefined,459941.528946827,3431801.71089635,459666.907252478,3432040.14927183,308.589191643701,4.85,NA,NA,NA,NA,1933-11-24,459792.91138856,3431930.74705733,196.818468303106,R - AMBUR,-37620,1,-358.770311351835
3,1109,1951-05-12,-127.144840147319,3.65,3,100,363.689337080275,undefined,0,0,1,1,undefined,459941.528946827,3431801.71089635,459666.907252478,3432040.14927183,308.589191643701,3.65,NA,NA,NA,NA,1951-05-12,459845.52192141,3431885.06832821,127.144840147319,R - AMBUR,-37620,1,-358.770311351835
3,1386,1974-04-18,-52.4171706457027,7.21,3,100,363.689337080275,undefined,0,0,1,1,undefined,459941.528946827,3431801.71089635,459666.907252478,3432040.14927183,308.589191643701,7.21,NA,NA,NA,NA,1974-04-18,459901.948759155,3431836.07611892,52.4171706457027,R - AMBUR,-37620,1,-358.770311351835
3,1774,2003-11-25,-10.9538447871027,5,3,100,363.689337080275,undefined,0,0,1,1,undefined,459941.528946827,3431801.71089635,459666.907252478,3432040.14927183,308.589191643701,5,NA,NA,NA,NA,2003-11-25,459933.257702365,3431808.89234681,10.9538447871027,R - AMBUR,-37620,1,-358.770311351835
3,1826,2006-03-01,-5.257355580125,5,3,100,363.689337080275,undefined,0,0,1,1,undefined,459941.528946827,3431801.71089635,459666.907252478,3432040.14927183,308.589191643701,5,NA,NA,NA,NA,2006-03-01,459937.559119422,3431805.15767138,5.257355580125,R - AMBUR,-37620,1,-358.770311351835
4,84,1867-01-01,-376.287233044072,7.21,4,100,381.332802100958,undefined,0,0,1,1,undefined,459892.952386201,3431714.34154354,459614.862317810,3431975.26417540,309.299568495353,7.21,NA,NA,NA,NA,1867-01-01,459618.541840359,3431971.81180217,376.287233044072,R - AMBUR,-37620,1,-376.287233044072
4,391,1924-10-01,-267.097062389412,13.84,4,100,381.332802100958,undefined,0,0,1,1,undefined,459892.952386201,3431714.34154354,459614.862317810,3431975.26417540,309.299568495353,13.84,NA,NA,NA,NA,1924-10-01,459698.169666388,3431897.09967003,267.097062389412,R - AMBUR,-37620,1,-376.287233044072
4,825,1933-11-24,-223.22731126685,4.85,4,100,381.332802100958,undefined,0,0,1,1,undefined,459892.952386201,3431714.34154354,459614.862317810,3431975.26417540,309.299568495353,4.85,NA,NA,NA,NA,1933-11-24,459730.162041612,3431867.08229188,223.22731126685,R - AMBUR,-37620,1,-376.287233044072
4,1158,1951-05-12,-141.372304750183,3.65,4,100,381.332802100958,undefined,0,0,1,1,undefined,459892.952386201,3431714.34154354,459614.862317810,3431975.26417540,309.299568495353,3.65,NA,NA,NA,NA,1951-05-12,459789.855475366,3431811.07393484,141.372304750183,R - AMBUR,-37620,1,-376.287233044072
4,1485,1974-04-18,-50.117155117114,7.21,4,100,381.332802100958,undefined,0,0,1,1,undefined,459892.952386201,3431714.34154354,459614.862317810,3431975.26417540,309.299568495353,7.21,NA,NA,NA,NA,1974-04-18,459856.404040459,3431748.6336368,50.117155117114,R - AMBUR,-37620,1,-376.287233044072
4,1744,2003-11-25,-11.6531458724615,5,4,100,381.332802100958,undefined,0,0,1,1,undefined,459892.952386201,3431714.34154354,459614.862317810,3431975.26417540,309.299568495353,5,NA,NA,NA,NA,2003-11-25,459884.454234155,3431722.31507604,11.6531458724615,R - AMBUR,-37620,1,-376.287233044072
4,1833,2006-03-01,-5.2566010308804,5,4,100,381.332802100958,undefined,0,0,1,1,undefined,459892.952386201,3431714.34154354,459614.862317810,3431975.26417540,309.299568495353,5,NA,NA,NA,NA,2006-03-01,459889.118966857,3431717.93831300,5.2566010308804,R - AMBUR,-37620,1,-376.287233044072
5,125,1867-01-01,-396.303187192857,7.21,5,100,401.31843291009,undefined,0,0,1,1,undefined,459839.582869608,3431629.82185872,459556.64457429,3431914.43107437,318.006309710138,7.21,NA,NA,NA,NA,1867-01-01,459560.180432495,3431910.87433481,396.303187192857,R - AMBUR,-37620,1,-396.303187192857
5,368,1924-10-01,-282.996972019487,13.84,5,100,401.31843291009,undefined,0,0,1,1,undefined,459839.582869608,3431629.82185872,459556.64457429,3431914.43107437,318.006309710138,13.84,NA,NA,NA,NA,1924-10-01,459640.063798773,3431830.51920934,282.996972019487,R - AMBUR,-37620,1,-396.303187192857
5,834,1933-11-24,-246.175255628161,4.85,5,100,401.31843291009,undefined,0,0,1,1,undefined,459839.582869608,3431629.82185872,459556.64457429,3431914.43107437,318.006309710138,4.85,NA,NA,NA,NA,1933-11-24,459666.023916256,3431804.40578179,246.175255628161,R - AMBUR,-37620,1,-396.303187192857
5,1191,1951-05-12,-154.013434074902,3.65,5,100,401.31843291009,undefined,0,0,1,1,undefined,459839.582869608,3431629.82185872,459556.64457429,3431914.43107437,318.006309710138,3.65,NA,NA,NA,NA,1951-05-12,459731.000021377,3431739.04595379,154.013434074902,R - AMBUR,-37620,1,-396.303187192857
5,1405,1974-04-18,-46.1479612370517,7.21,5,100,401.31843291009,undefined,0,0,1,1,undefined,459839.582869608,3431629.82185872,459556.64457429,3431914.43107437,318.006309710138,7.21,NA,NA,NA,NA,1974-04-18,459807.047545003,3431662.54932393,46.1479612370517,R - AMBUR,-37620,1,-396.303187192857
5,1668,2003-11-25,-10.7081004540058,5,5,100,401.31843291009,undefined,0,0,1,1,undefined,459839.582869608,3431629.82185872,459556.64457429,3431914.43107437,318.006309710138,5,NA,NA,NA,NA,2003-11-25,459832.033423981,3431637.41588835,10.7081004540058,R - AMBUR,-37620,1,-396.303187192857
5,1843,2006-03-01,-5.0793674257545,5,5,100,401.31843291009,undefined,0,0,1,1,undefined,459839.582869608,3431629.82185872,459556.64457429,3431914.43107437,318.006309710138,5,NA,NA,NA,NA,2006-03-01,459836.001804193,3431633.42407247,5.0793674257545,R - AMBUR,-37620,1,-396.303187192857
6,59,1867-01-01,-415.186426579714,7.21,6,100,420.265283841559,undefined,0,0,1,1,undefined,459779.978742879,3431549.59715255,459498.824418322,3431861.96737293,318.932281625544,7.21,NA,NA,NA,NA,1867-01-01,459502.222135759,3431858.19241501,415.186426579714,R - AMBUR,-37620,1,-415.186426579714
6,396,1924-10-01,-295.689205479536,13.84,6,100,420.265283841559,undefined,0,0,1,1,undefined,459779.978742879,3431549.59715255,459498.824418322,3431861.96737293,318.932281625544,13.84,NA,NA,NA,NA,1924-10-01,459582.164880917,3431769.37381703,295.689205479536,R - AMBUR,-37620,1,-415.186426579714
6,804,1933-11-24,-263.360645725434,4.85,6,100,420.265283841559,undefined,0,0,1,1,undefined,459779.978742879,3431549.59715255,459498.824418322,3431861.96737293,318.932281625544,4.85,NA,NA,NA,NA,1933-11-24,459603.792445055,3431745.3449959,263.360645725434,R - AMBUR,-37620,1,-415.186426579714
6,1172,1951-05-12,-166.538607831264,3.65,6,100,420.265283841559,undefined,0,0,1,1,undefined,459779.978742879,3431549.59715255,459498.824418322,3431861.96737293,318.932281625544,3.65,NA,NA,NA,NA,1951-05-12,459668.565662623,3431673.38016207,166.538607831264,R - AMBUR,-37620,1,-415.186426579714
6,1363,1974-04-18,-39.4321055997868,7.21,6,100,420.265283841559,undefined,0,0,1,1,undefined,459779.978742879,3431549.59715255,459498.824418322,3431861.96737293,318.932281625544,7.21,NA,NA,NA,NA,1974-04-18,459753.598959818,3431578.90582017,39.4321055997868,R - AMBUR,-37620,1,-415.186426579714
6,1683,2003-11-25,-9.6404499892141,5,6,100,420.265283841559,undefined,0,0,1,1,undefined,459779.978742879,3431549.59715255,459498.824418322,3431861.96737293,318.932281625544,5,NA,NA,NA,NA,2003-11-25,459773.529354102,3431556.76260162,9.6404499892141,R - AMBUR,-37620,1,-415.186426579714
6,1846,2006-03-01,-5.1004738362196,5,6,100,420.265283841559,undefined,0,0,1,1,undefined,459779.978742879,3431549.59715255,459498.824418322,3431861.96737293,318.932281625544,5,NA,NA,NA,NA,2006-03-01,459776.566564116,3431553.3881774,5.1004738362196,R - AMBUR,-37620,1,-415.186426579714
7,142,1867-01-01,-438.802598361524,7.21,7,100,443.802599642966,undefined,0,0,1,1,undefined,459719.831994771,3431469.7850124,459440.472643669,3431814.63150057,321.005316094129,7.21,NA,NA,NA,NA,1867-01-01,459443.619982406,3431810.74636586,438.802598361524,R - AMBUR,-37620,1,-438.802598361524
7,367,1924-10-01,-312.821855769459,13.84,7,100,443.802599642966,undefined,0,0,1,1,undefined,459719.831994771,3431469.7850124,459440.472643669,3431814.63150057,321.005316094129,13.84,NA,NA,NA,NA,1924-10-01,459522.92077634,3431712.85595987,312.821855769459,R - AMBUR,-37620,1,-438.802598361524
7,836,1933-11-24,-284.081388206171,4.85,7,100,443.802599642966,undefined,0,0,1,1,undefined,459719.831994771,3431469.7850124,459440.472643669,3431814.63150057,321.005316094129,4.85,NA,NA,NA,NA,1933-11-24,459541.011969081,3431690.52384799,284.081388206171,R - AMBUR,-37620,1,-438.802598361524
7,1203,1951-05-12,-186.134547325820,3.65,7,100,443.802599642966,undefined,0,0,1,1,undefined,459719.831994771,3431469.7850124,459440.472643669,3431814.63150057,321.005316094129,3.65,NA,NA,NA,NA,1951-05-12,459602.666330576,3431614.41653331,186.134547325820,R - AMBUR,-37620,1,-438.802598361524
7,1420,1974-04-18,-33.0792479927683,7.21,7,100,443.802599642966,undefined,0,0,1,1,undefined,459719.831994771,3431469.7850124,459440.472643669,3431814.63150057,321.005316094129,7.21,NA,NA,NA,NA,1974-04-18,459699.009680387,3431495.4884727,33.0792479927683,R - AMBUR,-37620,1,-438.802598361524
7,1721,2003-11-25,-7.5593237242443,5,7,100,443.802599642966,undefined,0,0,1,1,undefined,459719.831994771,3431469.7850124,459440.472643669,3431814.63150057,321.005316094129,5,NA,NA,NA,NA,2003-11-25,459715.073645514,3431475.65880908,7.5593237242443,R - AMBUR,-37620,1,-438.802598361524
7,1854,2006-03-01,-5.2083947444438,5,7,100,443.802599642966,undefined,0,0,1,1,undefined,459719.831994771,3431469.7850124,459440.472643669,3431814.63150057,321.005316094129,5,NA,NA,NA,NA,2006-03-01,459716.553479104,3431473.8320744,5.2083947444438,R - AMBUR,-37620,1,-438.802598361524
8,134,1867-01-01,-460.482212847782,7.21,8,100,465.589472645514,undefined,0,0,1,1,undefined,459657.333567289,3431391.77619756,459378.241855113,3431764.44411037,322.783156361896,7.21,NA,NA,NA,NA,1867-01-01,459381.30333731,3431760.35614885,460.482212847782,R - AMBUR,-37620,1,-460.482212847782
8,410,1924-10-01,-326.857369371108,13.84,8,100,465.589472645514,undefined,0,0,1,1,undefined,459657.333567289,3431391.77619756,459378.241855113,3431764.44411037,322.783156361896,13.84,NA,NA,NA,NA,1924-10-01,459461.403057227,3431653.39992573,326.857369371108,R - AMBUR,-37620,1,-460.482212847782
8,826,1933-11-24,-302.129343467778,4.85,8,100,465.589472645514,undefined,0,0,1,1,undefined,459657.333567289,3431391.77619756,459378.241855113,3431764.44411037,322.783156361896,4.85,NA,NA,NA,NA,1933-11-24,459476.225959147,3431633.60707743,302.129343467778,R - AMBUR,-37620,1,-460.482212847782
8,1062,1951-05-12,-206.495108698545,3.65,8,100,465.589472645514,undefined,0,0,1,1,undefined,459657.333567289,3431391.77619756,459378.241855113,3431764.44411037,322.783156361896,3.65,NA,NA,NA,NA,1951-05-12,459533.552689867,3431557.05936156,206.495108698545,R - AMBUR,-37620,1,-460.482212847782
8,1494,1974-04-18,-38.9411969846307,7.21,8,100,465.589472645514,undefined,0,0,1,1,undefined,459657.333567289,3431391.77619756,459378.241855113,3431764.44411037,322.783156361896,7.21,NA,NA,NA,NA,1974-04-18,459633.99075999,3431422.94557629,38.9411969846307,R - AMBUR,-37620,1,-460.482212847782
8,1733,2003-11-25,-8.8734926291938,5,8,100,465.589472645514,undefined,0,0,1,1,undefined,459657.333567289,3431391.77619756,459378.241855113,3431764.44411037,322.783156361896,5,NA,NA,NA,NA,2003-11-25,459652.014464525,3431398.87873353,8.8734926291938,R - AMBUR,-37620,1,-460.482212847782
8,1862,2006-03-01,-4.8742300202757,5,8,100,465.589472645514,undefined,0,0,1,1,undefined,459657.333567289,3431391.77619756,459378.241855113,3431764.44411037,322.783156361896,5,NA,NA,NA,NA,2006-03-01,459654.411771841,3431395.677637,4.8742300202757,R - AMBUR,-37620,1,-460.482212847782
9,130,1867-01-01,-479.616555760070,7.21,9,100,484.60586383476,undefined,0,0,1,1,undefined,459589.390979301,3431318.47784418,459318.142785479,3431720.05879568,324.218885930239,7.21,NA,NA,NA,NA,1867-01-01,459320.935448351,3431715.92427888,479.616555760070,R - AMBUR,-37620,1,-479.616555760070
9,356,1924-10-01,-343.040229152402,13.84,9,100,484.60586383476,undefined,0,0,1,1,undefined,459589.390979301,3431318.47784418,459318.142785479,3431720.05879568,324.218885930239,13.84,NA,NA,NA,NA,1924-10-01,459397.381246217,3431602.74683865,343.040229152402,R - AMBUR,-37620,1,-479.616555760070
9,820,1933-11-24,-319.962390975940,4.85,9,100,484.60586383476,undefined,0,0,1,1,undefined,459589.390979301,3431318.47784418,459318.142785479,3431720.05879568,324.218885930239,4.85,NA,NA,NA,NA,1933-11-24,459410.298592848,3431583.62280218,319.962390975940,R - AMBUR,-37620,1,-479.616555760070
9,1154,1951-05-12,-228.394968707844,3.65,9,100,484.60586383476,undefined,0,0,1,1,undefined,459589.390979301,3431318.47784418,459318.142785479,3431720.05879568,324.218885930239,3.65,NA,NA,NA,NA,1951-05-12,459461.551579567,3431507.74313314,228.394968707844,R - AMBUR,-37620,1,-479.616555760070
9,1372,1974-04-18,-57.7085736466411,7.21,9,100,484.60586383476,undefined,0,0,1,1,undefined,459589.390979301,3431318.47784418,459318.142785479,3431720.05879568,324.218885930239,7.21,NA,NA,NA,NA,1974-04-18,459557.089788709,3431366.29951875,57.7085736466411,R - AMBUR,-37620,1,-479.616555760070
9,1674,2003-11-25,-7.6610202317838,5,9,100,484.60586383476,undefined,0,0,1,1,undefined,459589.390979301,3431318.47784418,459318.142785479,3431720.05879568,324.218885930239,5,NA,NA,NA,NA,2003-11-25,459585.102880341,3431324.82634308,7.6610202317838,R - AMBUR,-37620,1,-479.616555760070
9,1867,2006-03-01,-5.1223713636535,5,9,100,484.60586383476,undefined,0,0,1,1,undefined,459589.390979301,3431318.47784418,459318.142785479,3431720.05879568,324.218885930239,5,NA,NA,NA,NA,2006-03-01,459586.523836982,3431322.72262725,5.1223713636535,R - AMBUR,-37620,1,-479.616555760070
10,169,1867-01-01,-503.774214856731,7.21,10,100,508.892277779229,undefined,0,0,1,1,undefined,459522.442142446,3431244.57734368,459268.158614654,3431685.3848276,328.91761826591,7.21,NA,NA,NA,NA,1867-01-01,459270.716010693,3431680.95151128,503.774214856731,R - AMBUR,-37620,1,-503.774214856731
10,380,1924-10-01,-364.430335661303,13.84,10,100,508.892277779229,undefined,0,0,1,1,undefined,459522.442142446,3431244.57734368,459268.158614654,3431685.3848276,328.91761826591,13.84,NA,NA,NA,NA,1924-10-01,459340.343424441,3431560.25047597,364.430335661303,R - AMBUR,-37620,1,-503.774214856731
10,808,1933-11-24,-346.408819345017,4.85,10,100,508.892277779229,undefined,0,0,1,1,undefined,459522.442142446,3431244.57734368,459268.158614654,3431685.3848276,328.91761826591,4.85,NA,NA,NA,NA,1933-11-24,459349.348424016,3431544.64006172,346.408819345017,R - AMBUR,-37620,1,-503.774214856731
10,1155,1951-05-12,-256.723413934621,3.65,10,100,508.892277779229,undefined,0,0,1,1,undefined,459522.442142446,3431244.57734368,459268.158614654,3431685.3848276,328.91761826591,3.65,NA,NA,NA,NA,1951-05-12,459394.162468707,3431466.95368363,256.723413934621,R - AMBUR,-37620,1,-503.774214856731
10,1500,1974-04-18,-90.0090243334344,7.21,10,100,508.892277779229,undefined,0,0,1,1,undefined,459522.442142446,3431244.57734368,459268.158614654,3431685.3848276,328.91761826591,7.21,NA,NA,NA,NA,1974-04-18,459477.466391703,3431322.54404367,90.0090243334344,R - AMBUR,-37620,1,-503.774214856731
10,1705,2003-11-25,-16.2761757108901,5,10,100,508.892277779229,undefined,0,0,1,1,undefined,459522.442142446,3431244.57734368,459268.158614654,3431685.3848276,328.91761826591,5,NA,NA,NA,NA,2003-11-25,459514.309255469,3431258.67592677,16.2761757108901,R - AMBUR,-37620,1,-503.774214856731
10,1874,2006-03-01,-5.1772636856671,5,10,100,508.892277779229,undefined,0,0,1,1,undefined,459522.442142446,3431244.57734368,459268.158614654,3431685.3848276,328.91761826591,5,NA,NA,NA,NA,2006-03-01,459519.855164943,3431249.06194028,5.1772636856671,R - AMBUR,-37620,1,-503.774214856731
11,77,1867-01-01,-519.469075904882,7.21,11,100,524.342303429863,undefined,0,0,1,1,undefined,459444.166203884,3431182.39939802,459216.34616938,3431654.66297172,332.899720194791,7.21,NA,NA,NA,NA,1867-01-01,459218.463524504,3431650.27376293,519.469075904882,R - AMBUR,-37620,1,-519.469075904882
11,379,1924-10-01,-372.927970080493,13.84,11,100,524.342303429863,undefined,0,0,1,1,undefined,459444.166203884,3431182.39939802,459216.34616938,3431654.66297172,332.899720194791,13.84,NA,NA,NA,NA,1924-10-01,459282.133763519,3431518.28741379,372.927970080493,R - AMBUR,-37620,1,-519.469075904882
11,818,1933-11-24,-350.582215826028,4.85,11,100,524.342303429863,undefined,0,0,1,1,undefined,459444.166203884,3431182.39939802,459216.34616938,3431654.66297172,332.899720194791,4.85,NA,NA,NA,NA,1933-11-24,459291.842708367,3431498.16108468,350.582215826028,R - AMBUR,-37620,1,-519.469075904882
11,1084,1951-05-12,-277.843832444952,3.65,11,100,524.342303429863,undefined,0,0,1,1,undefined,459444.166203884,3431182.39939802,459216.34616938,3431654.66297172,332.899720194791,3.65,NA,NA,NA,NA,1951-05-12,459323.44660701,3431432.64722350,277.843832444952,R - AMBUR,-37620,1,-519.469075904882
11,1370,1974-04-18,-111.479754645074,7.21,11,100,524.342303429863,undefined,0,0,1,1,undefined,459444.166203884,3431182.39939802,459216.34616938,3431654.66297172,332.899720194791,7.21,NA,NA,NA,NA,1974-04-18,459395.72967419,3431282.80675973,111.479754645074,R - AMBUR,-37620,1,-519.469075904882
11,1708,2003-11-25,-19.3471885425656,5,11,100,524.342303429863,undefined,0,0,1,1,undefined,459444.166203884,3431182.39939802,459216.34616938,3431654.66297172,332.899720194791,5,NA,NA,NA,NA,2003-11-25,459435.760097544,3431199.82498497,19.3471885425656,R - AMBUR,-37620,1,-519.469075904882
11,1883,2006-03-01,-5.1275514393045,5,11,100,524.342303429863,undefined,0,0,1,1,undefined,459444.166203884,3431182.39939802,459216.34616938,3431654.66297172,332.899720194791,5,NA,NA,NA,NA,2006-03-01,459441.938348267,3431187.01767076,5.1275514393045,R - AMBUR,-37620,1,-519.469075904882
12,156,1867-01-01,-538.243785471080,7.21,12,100,543.293703752496,undefined,0,0,1,1,undefined,459360.602672311,3431127.98304643,459153.204196869,3431630.13234786,341.331621721377,7.21,NA,NA,NA,NA,1867-01-01,459155.13196696,3431625.46486705,538.243785471080,R - AMBUR,-37620,1,-538.243785471080
12,411,1924-10-01,-374.784741531945,13.84,12,100,543.293703752496,undefined,0,0,1,1,undefined,459360.602672311,3431127.98304643,459153.204196869,3431630.13234786,341.331621721377,13.84,NA,NA,NA,NA,1924-10-01,459217.531284817,3431474.38480822,374.784741531945,R - AMBUR,-37620,1,-538.243785471080
12,839,1933-11-24,-358.558683346611,4.85,12,100,543.293703752496,undefined,0,0,1,1,undefined,459360.602672311,3431127.98304643,459153.204196869,3431630.13234786,341.331621721377,4.85,NA,NA,NA,NA,1933-11-24,459223.725466172,3431459.38757242,358.558683346611,R - AMBUR,-37620,1,-538.243785471080
12,1067,1951-05-12,-302.860712410116,3.65,12,100,543.293703752496,undefined,0,0,1,1,undefined,459360.602672311,3431127.98304643,459153.204196869,3431630.13234786,341.331621721377,3.65,NA,NA,NA,NA,1951-05-12,459244.987767166,3431407.90768777,302.860712410116,R - AMBUR,-37620,1,-538.243785471080
12,1422,1974-04-18,-155.05693109984,7.21,12,100,543.293703752496,undefined,0,0,1,1,undefined,459360.602672311,3431127.98304643,459153.204196869,3431630.13234786,341.331621721377,7.21,NA,NA,NA,NA,1974-04-18,459301.410800779,3431271.29729634,155.05693109984,R - AMBUR,-37620,1,-538.243785471080
12,1745,2003-11-25,-20.0688144633646,5,12,100,543.293703752496,undefined,0,0,1,1,undefined,459360.602672311,3431127.98304643,459153.204196869,3431630.13234786,341.331621721377,5,NA,NA,NA,NA,2003-11-25,459352.941546303,3431146.53202113,20.0688144633646,R - AMBUR,-37620,1,-538.243785471080
12,1851,2006-03-01,-4.6894334598709,5,12,100,543.293703752496,undefined,0,0,1,1,undefined,459360.602672311,3431127.98304643,459153.204196869,3431630.13234786,341.331621721377,5,NA,NA,NA,NA,2006-03-01,459358.812514716,3431132.31734245,4.6894334598709,R - AMBUR,-37620,1,-538.243785471080
13,65,1867-01-01,-549.456173628571,7.21,13,100,554.456142268912,undefined,0,0,1,1,undefined,459269.329604048,3431087.24663178,459087.268981632,3431610.95985814,343.87312497983,7.21,NA,NA,NA,NA,1867-01-01,459088.910765956,3431606.23712264,549.456173628571,R - AMBUR,-37620,1,-549.456173628571
13,372,1924-10-01,-365.910978474264,13.84,13,100,554.456142268912,undefined,0,0,1,1,undefined,459269.329604048,3431087.24663178,459087.268981632,3431610.95985814,343.87312497983,13.84,NA,NA,NA,NA,1924-10-01,459149.179468787,3431432.86895335,365.910978474264,R - AMBUR,-37620,1,-549.456173628571
13,819,1933-11-24,-353.283674197388,4.85,13,100,554.456142268912,undefined,0,0,1,1,undefined,459269.329604048,3431087.24663178,459087.268981632,3431610.95985814,343.87312497983,4.85,NA,NA,NA,NA,1933-11-24,459153.325756835,3431420.94179490,353.283674197388,R - AMBUR,-37620,1,-549.456173628571
