"TRANSECT","1867-01-01 to 1924-10-01","1924-10-01 to 1933-11-24","1933-11-24 to 1951-05-12","1951-05-12 to 1974-04-18","1974-04-18 to 2003-11-25","2003-11-25 to 2006-03-01"
1,105.294442344753,52.2208372285006,47.0395484430176,50.1039196346373,38.3427531402471,0.8390046053094
2,102.250594890037,59.0761239501821,61.391675781667,58.1629476050973,43.2002778257046,0.445916575178599
3,108.270882468299,53.6809605804307,69.6736281557868,74.7276695016167,41.4633258586,5.6964892069777
4,109.190170654660,43.8697511225619,81.8550065166667,91.2551496330692,38.4640092446525,6.3965448415811
5,113.30621517337,36.8217163913255,92.1618215532592,107.865472837850,35.4398607830459,5.6287330282513
6,119.497221100178,32.3285597541021,96.822037894170,127.106502231477,29.7916556105727,4.5399761529945
7,125.980742592065,28.7404675632889,97.946840880351,153.055299333051,25.519924268524,2.3509289798005
8,133.624843476674,24.7280259033297,95.6342347692324,167.553911713915,30.0677043554369,3.9992626089181
9,136.576326607669,23.0778381764614,91.5674222680966,170.686395061203,50.0475534148573,2.5386488681303
10,139.343879195428,18.0215163162859,89.6854054103961,166.714389601186,73.7328486225443,11.098912025223
11,146.541105824390,22.3457542544645,72.7383833810758,166.364077799878,92.1325661025083,14.2196371032611
12,163.459043939134,16.2260581853349,55.6979709364944,147.803781310276,134.988116636475,15.3793810034937
13,183.545195154307,12.6273042768761,26.2181567928044,143.361665172651,161.940559131250,16.6351193449685
14,205.890758249502,-6.07217441003064,13.4618512289197,130.47437810183,175.679382090408,37.5736185142396
15,197.702386293307,-11.2593527262140,0.88689243092847,112.807471749224,211.564775951884,55.2644594929643
16,172.328514138707,9.97270930901618,-31.5783894755791,87.6205032961629,277.235172543745,62.798313144272
17,164.699002462855,19.8125619814870,-44.7191124314427,61.0596638201141,334.604768689635,72.4639815651797
18,159.142657769189,34.4974402474034,-49.0217363407438,4.28819427243184,420.7450464153,71.8793221312212
19,155.982707178106,45.055053265786,-38.1936456379413,-1.73382241768780,448.661271843923,44.3983505444802
20,153.940805570088,56.9138000186875,-16.7770639583223,-15.8980418008088,404.658364410311,22.8213181367765
