Changes.Transects,Changes.Dates,Changes.Dates2,Changes.Years,Changes.Years.Eras,Changes.Distances,Changes.Dist.Eras,Rates.Consec.Eras
1,-37620,1867-01-01,0,0,0,0,0
1,-16528,1924-10-01,57.786301369863,57.786301369863,105.294442344753,105.294442344753,1.82213500169898
1,-13187,1933-11-24,66.9397260273973,9.15342465753425,157.515279573254,52.2208372285006,5.70506003843242
1,-6809,1951-05-12,84.413698630137,17.4739726027397,204.554828016272,47.0395484430176,2.69197792124513
1,1568,1974-04-18,107.364383561644,22.9506849315068,254.658747650909,50.1039196346373,2.18311217221471
1,12381,2003-11-25,136.98904109589,29.6246575342466,293.001500791156,38.3427531402471,1.29428511016279
1,13208,2006-03-01,139.254794520548,2.26575342465753,293.840505396465,0.839004605309356,0.370298284084541
2,-37620,1867-01-01,0,0,0,0,0
2,-16528,1924-10-01,57.786301369863,57.786301369863,102.250594890037,102.250594890037,1.76946079721523
2,-13187,1933-11-24,66.9397260273973,9.15342465753425,161.326718840219,59.0761239501821,6.45399139234255
2,-6809,1951-05-12,84.413698630137,17.4739726027397,222.718394621886,61.391675781667,3.51332105053441
2,1568,1974-04-18,107.364383561644,22.9506849315068,280.881342226983,58.1629476050973,2.53425759530387
2,12381,2003-11-25,136.98904109589,29.6246575342466,324.081620052688,43.2002778257046,1.45825408363842
2,13208,2006-03-01,139.254794520548,2.26575342465753,324.527536627867,0.445916575178614,0.196807194607248
3,-37620,1867-01-01,0,0,0,0,0
3,-16528,1924-10-01,57.786301369863,57.786301369863,108.270882468299,108.270882468299,1.87364271292096
3,-13187,1933-11-24,66.9397260273973,9.15342465753425,161.951843048729,53.6809605804307,5.8645766572455
3,-6809,1951-05-12,84.413698630137,17.4739726027397,231.625471204516,69.6736281557868,3.98728038207309
3,1568,1974-04-18,107.364383561644,22.9506849315068,306.353140706133,74.7276695016167,3.25601042952013
3,12381,2003-11-25,136.98904109589,29.6246575342466,347.816466564733,41.4633258586,1.39962211582253
3,13208,2006-03-01,139.254794520548,2.26575342465753,353.51295577171,5.69648920697767,2.51416996438555
4,-37620,1867-01-01,0,0,0,0,0
4,-16528,1924-10-01,57.786301369863,57.786301369863,109.19017065466,109.19017065466,1.88955112312492
4,-13187,1933-11-24,66.9397260273973,9.15342465753425,153.059921777222,43.8697511225619,4.79271450456004
4,-6809,1951-05-12,84.413698630137,17.4739726027397,234.914928293888,81.8550065166667,4.68439595148688
4,1568,1974-04-18,107.364383561644,22.9506849315068,326.170077926958,91.2551496330692,3.97614057730336
4,12381,2003-11-25,136.98904109589,29.6246575342466,364.63408717161,38.4640092446525,1.298378190539
4,13208,2006-03-01,139.254794520548,2.26575342465753,371.030632013191,6.39654484158109,2.82314252379335
5,-37620,1867-01-01,0,0,0,0,0
5,-16528,1924-10-01,57.786301369863,57.786301369863,113.30621517337,113.30621517337,1.96077984725394
5,-13187,1933-11-24,66.9397260273973,9.15342465753425,150.127931564696,36.8217163913255,4.02272567579581
5,-6809,1951-05-12,84.413698630137,17.4739726027397,242.289753117955,92.1618215532592,5.27423406505795
5,1568,1974-04-18,107.364383561644,22.9506849315068,350.155225955805,107.86547283785,4.69988033733023
5,12381,2003-11-25,136.98904109589,29.6246575342466,385.595086738851,35.4398607830459,1.19629604973752
5,13208,2006-03-01,139.254794520548,2.26575342465753,391.223819767102,5.62873302825125,2.48426548405285
6,-37620,1867-01-01,0,0,0,0,0
6,-16528,1924-10-01,57.786301369863,57.786301369863,119.497221100178,119.497221100178,2.06791606777759
6,-13187,1933-11-24,66.9397260273973,9.15342465753425,151.82578085428,32.3285597541021,3.53185402880792
6,-6809,1951-05-12,84.413698630137,17.4739726027397,248.64781874845,96.82203789417,5.54092879137223
6,1568,1974-04-18,107.364383561644,22.9506849315068,375.754320979927,127.106502231477,5.53824439709792
6,12381,2003-11-25,136.98904109589,29.6246575342466,405.5459765905,29.7916556105727,1.00563713103293
6,13208,2006-03-01,139.254794520548,2.26575342465753,410.085952743494,4.53997615299454,2.00373796353447
7,-37620,1867-01-01,0,0,0,0,0
7,-16528,1924-10-01,57.786301369863,57.786301369863,125.980742592065,125.980742592065,2.18011431092848
7,-13187,1933-11-24,66.9397260273973,9.15342465753425,154.721210155353,28.7404675632889,3.13985952128118
7,-6809,1951-05-12,84.413698630137,17.4739726027397,252.668051035704,97.946840880351,5.60529898421575
7,1568,1974-04-18,107.364383561644,22.9506849315068,405.723350368756,153.055299333051,6.66887719428957
7,12381,2003-11-25,136.98904109589,29.6246575342466,431.24327463728,25.519924268524,0.861442001110817
7,13208,2006-03-01,139.254794520548,2.26575342465753,433.59420361708,2.35092897980047,1.03759259688896
8,-37620,1867-01-01,0,0,0,0,0
8,-16528,1924-10-01,57.786301369863,57.786301369863,133.624843476674,133.624843476674,2.31239654224284
8,-13187,1933-11-24,66.9397260273973,9.15342465753425,158.352869380004,24.7280259033297,2.70150537405428
8,-6809,1951-05-12,84.413698630137,17.4739726027397,253.987104149236,95.6342347692324,5.47295322840543
8,1568,1974-04-18,107.364383561644,22.9506849315068,421.541015863151,167.553911713915,7.3006061568078
8,12381,2003-11-25,136.98904109589,29.6246575342466,451.608720218588,30.0677043554369,1.01495533984412
8,13208,2006-03-01,139.254794520548,2.26575342465753,455.607982827506,3.99926260891806,1.76509171977641
9,-37620,1867-01-01,0,0,0,0,0
9,-16528,1924-10-01,57.786301369863,57.786301369863,136.576326607669,136.576326607669,2.36347236922999
9,-13187,1933-11-24,66.9397260273973,9.15342465753425,159.65416478413,23.0778381764614,2.5212244640552
