"TRANSECT","01/01/1855 12:00:01 AM to 01/01/1867 12:00:01 AM EPR","01/01/1867 12:00:01 AM to 08/01/1924 12:00:01 AM EPR","08/01/1924 12:00:01 AM to 10/01/1924 12:00:01 AM EPR","10/01/1924 12:00:01 AM to 11/24/1933 12:00:01 AM EPR","11/24/1933 12:00:01 AM to 05/12/1951 12:00:01 AM EPR","05/12/1951 12:00:01 AM to 04/18/1974 12:00:01 AM EPR","04/18/1974 12:00:01 AM to 12/29/2002 12:00:01 AM EPR","12/29/2002 12:00:01 AM to 11/25/2003 12:00:01 AM EPR","11/25/2003 12:00:01 AM to 03/01/2006 12:00:01 AM EPR"
1,NA,NA,NA,5.70860770235782,2.69368251089375,2.18506286692088,NA,NA,0.3739866227366
2,NA,NA,NA,6.26594417668008,3.05788177207593,2.31247667628992,NA,NA,0.503621331059069
3,NA,NA,NA,6.45854778130275,3.5147593271651,2.5355024838244,NA,NA,0.194241187082361
4,NA,NA,NA,6.37154803557161,3.72376358373918,2.8406166185435,NA,NA,1.78658222704007
5,NA,NA,NA,5.77133838996574,4.03018258287299,3.26559947468587,NA,NA,2.4918051048999
6,NA,NA,NA,5.14908256451098,4.5566003181349,3.54444760595279,NA,NA,3.2034503462998
7,NA,NA,NA,4.58407787710103,4.77398987255991,3.99775900177884,NA,NA,2.77830823557865
8,NA,NA,NA,4.43736901789683,4.92575936829258,4.32506324046311,NA,NA,2.80072779875357
9,NA,NA,NA,4.14121828561419,5.22305211302121,4.71061048076902,NA,NA,2.51362093087214
10,NA,NA,NA,3.76457846643479,5.4852148445127,5.11652011488864,NA,NA,1.89588342943811
11,NA,NA,NA,3.54724097925217,5.54750723324229,5.53619049113383,NA,NA,2.02313688219766
12,NA,NA,NA,3.372451953964,5.55963113337527,6.05381632745482,NA,NA,2.6606819438969
13,NA,NA,NA,3.14163299084528,5.61026116901915,6.66789075098009,NA,NA,1.05130848621382
14,NA,NA,NA,2.99045158079789,5.66036870954566,6.92648234998811,NA,NA,1.35302900486139
15,NA,NA,NA,2.72830987562483,5.48867805703206,7.28587349915986,NA,NA,1.74946562066167
16,NA,NA,NA,2.36392835005296,5.37023010113724,7.64576826793522,NA,NA,2.49339794423861
17,NA,NA,NA,2.46562255673057,5.2235943549744,7.46493428590752,NA,NA,1.0236539193796
18,NA,NA,NA,1.99519033877582,5.25060365646344,7.32919798335468,NA,NA,3.1438261118658
19,NA,NA,NA,1.96629192472659,5.12983394084698,7.26356737055119,NA,NA,4.97157318455031
20,NA,NA,NA,2.16581108383506,4.53879884195859,7.46736258824247,NA,NA,4.84468554694791
21,NA,NA,NA,2.41878533057484,4.02475435489862,7.27432176523239,NA,NA,6.07116178533693
22,NA,NA,NA,2.29565345076816,3.85948211875396,6.79011871104825,NA,NA,8.3334246103964
23,NA,NA,NA,2.1842567681826,3.61594497011995,6.51613709138668,NA,NA,7.12271817140342
24,NA,NA,NA,1.64047998080503,2.88347144949313,6.24314533322187,NA,NA,6.12444717549581
25,NA,NA,NA,1.45340951057739,1.94571665300345,6.23570078878902,NA,NA,7.24315014964768
26,NA,NA,NA,1.03510741483746,1.24722023741668,5.98074973090836,NA,NA,11.1932095247033
27,NA,NA,NA,-1.4654627170531,0.503743449725563,5.71517454415511,NA,NA,16.4793336049542
28,NA,NA,NA,-1.2727315800509,0.266340524792319,5.31359586079044,NA,NA,23.0638016296141
29,NA,NA,NA,-0.31831017716328,-0.776604600014679,5.05351170543089,NA,NA,24.2271839330988
30,NA,NA,NA,0.394186731330849,-1.28870427782089,4.57180355108565,NA,NA,28.0007566438436
31,NA,NA,NA,1.20882189783989,-1.92574521154927,3.78007557673522,NA,NA,27.6369457094388
32,NA,NA,NA,1.55856661336667,-2.19578196125446,3.37029175006108,NA,NA,29.3503543163754
33,NA,NA,NA,1.8672256487766,-2.4153746123765,2.99925323133594,NA,NA,31.7493329782394
34,NA,NA,NA,2.54640375530518,-2.6919084116838,0.417566540933605,NA,NA,34.3328044945777
35,NA,NA,NA,3.09267503284318,-2.78657019438748,0.303864820308178,NA,NA,32.5858459911434
36,NA,NA,NA,4.49690731954236,-2.55441123817245,0.0855098480834864,NA,NA,26.8929516376837
37,NA,NA,NA,4.77622426917993,-2.41097574284608,0.0164125076369084,NA,NA,20.3608579991745
38,NA,NA,NA,5.36911722931357,-1.74835074870728,-0.331700910222951,NA,NA,17.4063804039042
39,NA,NA,NA,6.16817955176522,-1.00442107068927,-0.685247362742444,NA,NA,11.2326519632586
40,NA,NA,NA,6.36766932086558,-0.874956660258077,-0.724001861085625,NA,NA,2.51042173963332
41,NA,NA,NA,6.52273090177033,-0.776491181222885,-0.754631448503213,NA,NA,-3.52413016627757
42,NA,NA,NA,6.73006042119587,-0.64670401881053,-0.796296721215172,NA,NA,-1.96253507142157
43,NA,NA,NA,7.33887292278597,-0.388112922775074,-0.801109013302548,NA,NA,0.035863521054182
44,NA,NA,NA,8.27068822215581,-0.203156652287246,-0.604494405645333,7.07489503342607,NA,NA
45,NA,NA,NA,8.65689023480008,-0.0129200755406298,-0.327340554917492,4.57413732522182,NA,NA
46,NA,NA,NA,8.32866431147685,0.442943405951499,-0.019059128061215,3.11928018300703,NA,NA
47,NA,NA,NA,7.905011403625,1.17499150792151,0.426284255577855,1.12035958360373,NA,NA
48,NA,NA,NA,6.62943521244718,2.09948880356278,1.07113689278309,-1.0692149740866,NA,NA
49,NA,NA,NA,4.91313582314533,3.08046448638334,2.61860702359517,-3.80946162193337,NA,NA
50,NA,NA,NA,3.78388918341446,0.583656807236507,5.47471892814129,-5.52282997580389,NA,NA
51,NA,NA,NA,2.668492445025,-0.641842472696716,4.6245782324919,-4.30918811359215,NA,NA
52,NA,NA,NA,2.41703674790922,-0.876075961637209,1.03893570283422,-1.3487725072644,NA,NA
53,NA,NA,NA,2.37808647513774,-0.911228919160146,1.03910966563297,-1.33490593067055,NA,NA
54,NA,NA,NA,1.24665908138506,-1.79876145019477,1.16162892711747,-1.11938425353867,NA,NA
55,NA,NA,NA,0.482876812833556,-2.49336072753714,0.955547070705235,-0.702477665203165,NA,NA
56,NA,NA,NA,0.775202396238878,-1.97820783113391,0.35367185173333,-0.394969763322888,NA,NA
57,NA,NA,NA,0.468604816577387,-1.54153596510291,-0.0322305679819688,-0.325107127249754,NA,NA
58,NA,NA,NA,0.910947116259416,-1.02383174900379,-0.655732073275614,-0.252539701105464,NA,NA
59,NA,NA,NA,0.982576305076853,-0.868440606505138,-0.91356276201752,-0.219638504225593,NA,NA
60,NA,NA,NA,0.632023194634027,-0.975377779692272,-0.90824774627529,-0.181139904001851,NA,NA
