Changes.Transects,Changes.Dates,Changes.Dates2,Changes.Years,Changes.Years.Eras,Changes.Distances,Changes.Dist.Eras,Rates.Consec.Eras
1,01/01/1867 12:00:01 AM,01/01/1867 12:00:01 AM,0,0,0,0,0
1,03/01/2006 12:00:01 AM,03/01/2006 12:00:01 AM,139.15947980835,139.15947980835,293.861183322833,293.861183322833,2.11168641710602
1,04/18/1974 12:00:01 AM,04/18/1974 12:00:01 AM,107.290782569017,-31.8686972393338,254.667532794497,-39.1936505283364,1.22984790479486
1,05/12/1951 12:00:01 AM,05/12/1951 12:00:01 AM,84.355806525211,-22.9349760438056,204.553168287457,-50.1143645070395,2.18506286692088
1,10/01/1924 12:00:01 AM,10/01/1924 12:00:01 AM,57.7467488021903,-26.6090577230208,105.29881332158,-99.2543549658769,3.73009657083825
1,11/24/1933 12:00:01 AM,11/24/1933 12:00:01 AM,66.8939082819986,9.14715947980835,157.51635838271,52.2175450611293,5.70860770235782
1,11/25/2003 12:00:01 AM,11/25/2003 12:00:01 AM,136.895277207392,70.0013689253935,293.014401838909,135.4980434562,1.93564848139772
2,01/01/1867 12:00:01 AM,01/01/1867 12:00:01 AM,0,0,0,0,0
2,03/01/2006 12:00:01 AM,03/01/2006 12:00:01 AM,139.15947980835,139.15947980835,309.67551991045,309.67551991045,2.22532823733556
2,04/18/1974 12:00:01 AM,04/18/1974 12:00:01 AM,107.290782569017,-31.8686972393338,265.844445954739,-43.831073955711,1.37536447211945
2,05/12/1951 12:00:01 AM,05/12/1951 12:00:01 AM,84.355806525211,-22.9349760438056,212.807848782171,-53.0365971725685,2.31247667628992
2,10/01/1924 12:00:01 AM,10/01/1924 12:00:01 AM,57.7467488021903,-26.6090577230208,102.095837762737,-110.712011019433,4.16068889668539
2,11/24/1933 12:00:01 AM,11/24/1933 12:00:01 AM,66.8939082819986,9.14715947980835,159.411428438407,57.3155906756691,6.26594417668008
2,11/25/2003 12:00:01 AM,11/25/2003 12:00:01 AM,136.895277207392,70.0013689253935,308.535219182768,149.123790744361,2.13029820750071
3,01/01/1867 12:00:01 AM,01/01/1867 12:00:01 AM,0,0,0,0,0
3,03/01/2006 12:00:01 AM,03/01/2006 12:00:01 AM,139.15947980835,139.15947980835,324.496665367678,324.496665367678,2.33183298625845
3,04/18/1974 12:00:01 AM,04/18/1974 12:00:01 AM,107.290782569017,-31.8686972393338,280.849785368761,-43.6468799989173,1.36958469532436
3,05/12/1951 12:00:01 AM,05/12/1951 12:00:01 AM,84.355806525211,-22.9349760438056,222.698096643239,-58.1516887255223,2.5355024838244
3,10/01/1924 12:00:01 AM,10/01/1924 12:00:01 AM,57.7467488021903,-26.6090577230208,102.246360359361,-120.451736283877,4.52671934262703
3,11/24/1933 12:00:01 AM,11/24/1933 12:00:01 AM,66.8939082819986,9.14715947980835,161.3237269229,59.0773665635386,6.45854778130275
3,11/25/2003 12:00:01 AM,11/25/2003 12:00:01 AM,136.895277207392,70.0013689253935,324.056863966673,162.733137043773,2.3247136383463
4,01/01/1867 12:00:01 AM,01/01/1867 12:00:01 AM,0,0,0,0,0
4,03/01/2006 12:00:01 AM,03/01/2006 12:00:01 AM,139.15947980835,139.15947980835,339.925388058983,339.925388058983,2.44270378508979
4,04/18/1974 12:00:01 AM,04/18/1974 12:00:01 AM,107.290782569017,-31.8686972393338,292.725544768883,-47.1998432901005,1.48107225518602
4,05/12/1951 12:00:01 AM,05/12/1951 12:00:01 AM,84.355806525211,-22.9349760438056,227.576070672951,-65.1494740959313,2.8406166185435
4,10/01/1924 12:00:01 AM,10/01/1924 12:00:01 AM,57.7467488021903,-26.6090577230208,104.270523877285,-123.305546795667,4.63396893190206
4,11/24/1933 12:00:01 AM,11/24/1933 12:00:01 AM,66.8939082819986,9.14715947980835,162.552089891918,58.2815660146331,6.3715480355716
4,11/25/2003 12:00:01 AM,11/25/2003 12:00:01 AM,136.895277207392,70.0013689253935,335.880203933693,173.328114041775,2.47606749271584
5,01/01/1867 12:00:01 AM,01/01/1867 12:00:01 AM,0,0,0,0,0
5,03/01/2006 12:00:01 AM,03/01/2006 12:00:01 AM,139.15947980835,139.15947980835,353.24966220638,353.24966220638,2.53845201701582
5,04/18/1974 12:00:01 AM,04/18/1974 12:00:01 AM,107.290782569017,-31.8686972393338,306.676652379598,-46.5730098267814,1.4614030023574
5,05/12/1951 12:00:01 AM,05/12/1951 12:00:01 AM,84.355806525211,-22.9349760438056,231.780206659013,-74.8964457205847,3.26559947468587
5,10/01/1924 12:00:01 AM,10/01/1924 12:00:01 AM,57.7467488021903,-26.6090577230208,108.614215830361,-123.165990828652,4.62872425287331
5,11/24/1933 12:00:01 AM,11/24/1933 12:00:01 AM,66.8939082819986,9.14715947980835,161.405568495318,52.791352664957,5.77133838996574
5,11/25/2003 12:00:01 AM,11/25/2003 12:00:01 AM,136.895277207392,70.0013689253935,347.607710606784,186.202142111466,2.65997858284625
6,01/01/1867 12:00:01 AM,01/01/1867 12:00:01 AM,0,0,0,0,0
6,03/01/2006 12:00:01 AM,03/01/2006 12:00:01 AM,139.15947980835,139.15947980835,362.884342740255,362.884342740255,2.60768682981581
6,04/18/1974 12:00:01 AM,04/18/1974 12:00:01 AM,107.290782569017,-31.8686972393338,316.999705444491,-45.884637295764,1.43980273028328
