manuscript
T05377
T05378
T05386
T05387
T05113
T05134
T05146
T05163
T05176
T05180
T05183
T05184
T05211
T05244
T05249
T05256
T01027
T00679
TP00272
TP00273
T8215
T8219
T8223
T8227
T05391
T05394
T10302
T10303
T5242
T03843
T03844
T03854
T04160
T05148
T05156
T05164
T05166
T05167
T05179
T05189
T05206
T05209
T05252
T05253
T05254
T00383-1
T00841
T00991
T01109
TP00269
TP00270
T8206
T8210
T8214
T8226
T8229
T8231
T8232
T05376
T05382
T05384
T10301
T04165B
T05116
T05136
T05162
T05168
T05170
T05182
T05190
T05208
T05212
T05214
T05216
T05246
T00322
T00906
T00992
T01155
T03412
T8205
T8216
T8228
T05390
T8201
T04096
T04164
T04198A
T05114
T05137
T05138
T05144
T05160
T05175
T00262
T00379-2
T00471
T00809
T01089
TP00271
TP00267
T8198
T8199
T8220
T8236
T05392
T03854A
T04196
T05115
T05135
T05143
T05153
T05154
T05155
T05159
T05169
T05188
T05210
T05213
T00261
T00611
T00803
TP00278
T8200
T8222
T8230
T8233
T05379
T05385
T05388
T05549
T10304
T10305
T05118
T05141
T05147
T05158
T05171
T05172
T05174
T05177
T05215
T00491-2
T00707
T00343
TP00275
TP00276
TP00279
T8217
T8221
T05380
T05381
T05393
T10300
T5243
T03841
T03842
T05142
T05157
T05178
T05181
T05185
T05186
T05187
T05245
T05250
T05251
T05255
T00672
T00725A
T00383-2
T00385-2
T00491-1
T00706
TP00268
TP00274
T8209
T8218
T8225
T8237
T05383
T05548
T04097
T04165A
T04197
T04198B
T05161
T05165
T05173
T05207
T00725B
T00296
T00327
T00379-1
T00508
T00840
T8211
T8212
T8213
T8235
