"TRANSECT","01/01/1855 12:00:01 AM to 01/01/1855 12:00:01 AM EPR","01/01/1855 12:00:01 AM to 01/01/1867 12:00:01 AM EPR","01/01/1855 12:00:01 AM to 08/01/1924 12:00:01 AM EPR","01/01/1855 12:00:01 AM to 10/01/1924 12:00:01 AM EPR","01/01/1855 12:00:01 AM to 11/24/1933 12:00:01 AM EPR","01/01/1855 12:00:01 AM to 05/12/1951 12:00:01 AM EPR","01/01/1855 12:00:01 AM to 04/18/1974 12:00:01 AM EPR","01/01/1855 12:00:01 AM to 12/29/2002 12:00:01 AM EPR","01/01/1855 12:00:01 AM to 11/25/2003 12:00:01 AM EPR","01/01/1855 12:00:01 AM to 03/01/2006 12:00:01 AM EPR","01/01/1867 12:00:01 AM to 01/01/1867 12:00:01 AM EPR","01/01/1867 12:00:01 AM to 08/01/1924 12:00:01 AM EPR","01/01/1867 12:00:01 AM to 10/01/1924 12:00:01 AM EPR","01/01/1867 12:00:01 AM to 11/24/1933 12:00:01 AM EPR","01/01/1867 12:00:01 AM to 05/12/1951 12:00:01 AM EPR","01/01/1867 12:00:01 AM to 04/18/1974 12:00:01 AM EPR","01/01/1867 12:00:01 AM to 12/29/2002 12:00:01 AM EPR","01/01/1867 12:00:01 AM to 11/25/2003 12:00:01 AM EPR","01/01/1867 12:00:01 AM to 03/01/2006 12:00:01 AM EPR","08/01/1924 12:00:01 AM to 08/01/1924 12:00:01 AM EPR","08/01/1924 12:00:01 AM to 10/01/1924 12:00:01 AM EPR","08/01/1924 12:00:01 AM to 11/24/1933 12:00:01 AM EPR","08/01/1924 12:00:01 AM to 05/12/1951 12:00:01 AM EPR","08/01/1924 12:00:01 AM to 04/18/1974 12:00:01 AM EPR","08/01/1924 12:00:01 AM to 12/29/2002 12:00:01 AM EPR","08/01/1924 12:00:01 AM to 11/25/2003 12:00:01 AM EPR","08/01/1924 12:00:01 AM to 03/01/2006 12:00:01 AM EPR","10/01/1924 12:00:01 AM to 10/01/1924 12:00:01 AM EPR","10/01/1924 12:00:01 AM to 11/24/1933 12:00:01 AM EPR","10/01/1924 12:00:01 AM to 05/12/1951 12:00:01 AM EPR","10/01/1924 12:00:01 AM to 04/18/1974 12:00:01 AM EPR","10/01/1924 12:00:01 AM to 12/29/2002 12:00:01 AM EPR","10/01/1924 12:00:01 AM to 11/25/2003 12:00:01 AM EPR","10/01/1924 12:00:01 AM to 03/01/2006 12:00:01 AM EPR","11/24/1933 12:00:01 AM to 11/24/1933 12:00:01 AM EPR","11/24/1933 12:00:01 AM to 05/12/1951 12:00:01 AM EPR","11/24/1933 12:00:01 AM to 04/18/1974 12:00:01 AM EPR","11/24/1933 12:00:01 AM to 12/29/2002 12:00:01 AM EPR","11/24/1933 12:00:01 AM to 11/25/2003 12:00:01 AM EPR","11/24/1933 12:00:01 AM to 03/01/2006 12:00:01 AM EPR","05/12/1951 12:00:01 AM to 05/12/1951 12:00:01 AM EPR","05/12/1951 12:00:01 AM to 04/18/1974 12:00:01 AM EPR","05/12/1951 12:00:01 AM to 12/29/2002 12:00:01 AM EPR","05/12/1951 12:00:01 AM to 11/25/2003 12:00:01 AM EPR","05/12/1951 12:00:01 AM to 03/01/2006 12:00:01 AM EPR","04/18/1974 12:00:01 AM to 04/18/1974 12:00:01 AM EPR","04/18/1974 12:00:01 AM to 12/29/2002 12:00:01 AM EPR","04/18/1974 12:00:01 AM to 11/25/2003 12:00:01 AM EPR","04/18/1974 12:00:01 AM to 03/01/2006 12:00:01 AM EPR","12/29/2002 12:00:01 AM to 12/29/2002 12:00:01 AM EPR","12/29/2002 12:00:01 AM to 11/25/2003 12:00:01 AM EPR","12/29/2002 12:00:01 AM to 03/01/2006 12:00:01 AM EPR","11/25/2003 12:00:01 AM to 11/25/2003 12:00:01 AM EPR","11/25/2003 12:00:01 AM to 03/01/2006 12:00:01 AM EPR","03/01/2006 12:00:01 AM to 03/01/2006 12:00:01 AM EPR"
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82345873154311,2.35471902342261,2.42488545499619,2.37361986460186,NA,2.1404273968853,2.11168641710602,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.70860770235782,3.73009657083825,3.0148679491037,NA,2.37168766494706,2.31612878810054,NA,2.69368251089375,2.40491810632506,NA,1.93564848139772,1.88671897364577,NA,2.18506286692088,NA,1.68371002605959,1.62959907037567,NA,NA,1.29530564574153,1.22984790479486,NA,NA,NA,NA,0.3739866227366,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.76799282869523,2.38304850968477,2.52274096530118,2.47779389421202,NA,2.25380470003612,2.22532823733556,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26594417668008,4.16068889668539,3.30511255830857,NA,2.60825293381529,2.54972016762349,NA,3.05788177207593,2.63468447484651,NA,2.13029820750071,2.07933166926175,NA,2.31247667628992,NA,1.8220086566853,1.76753975281583,NA,NA,1.44203688492254,1.37536447211945,NA,NA,NA,NA,0.503621331059069,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77059942733059,2.41163554449266,2.63998538828127,2.61765063730521,NA,2.3671880475156,2.33183298625845,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.45854778130275,4.52671934262703,3.60494314714012,NA,2.8024589727272,2.72992076621899,NA,3.5147593271651,2.95879472249842,NA,2.3247136383463,2.2579623325234,NA,2.5355024838244,NA,1.92919277654258,1.85751360494586,NA,NA,1.45947698569743,1.36958469532436,NA,NA,NA,NA,0.194241187082361,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80565185123166,2.42999839696406,2.69781156801502,2.72833823894035,NA,2.45355581861926,2.44270378508979,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.37154803557161,4.63396893190206,3.80378839919537,NA,2.92626640978945,2.89457018907605,NA,3.72376358373918,3.22236453127755,NA,2.47606749271584,2.45446475300324,NA,2.8406166185435,NA,2.06138607516412,2.05003261014251,NA,NA,1.45770632777059,1.48107225518602,NA,NA,NA,NA,1.78658222704007,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88087153100889,2.4128589977864,2.74764970197686,2.85836905124933,NA,2.53922354151173,2.53845201701582,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.77133838996574,4.62872425287331,3.99770510171611,NA,3.01955702262577,3.00487949922117,NA,4.03018258287299,3.59609713494502,NA,2.65997858284625,2.65470942329855,NA,3.26559947468587,NA,2.20458071700851,2.21644733410117,NA,NA,1.38259607965502,1.4614030023574,NA,NA,NA,NA,2.4918051048999,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88827105062511,2.33415863167912,2.79421054960804,2.95458470759662,NA,2.5978330983278,2.60768682981581,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14908256451098,4.76027267861343,4.19744166153946,NA,3.11552941124575,3.11797461615864,NA,4.5566003181349,3.98195936840108,NA,2.84980267919556,2.86088305883925,NA,3.54444760595279,NA,2.28253532179864,2.32058273849212,NA,NA,1.30491593123007,1.43980273028328,NA,NA,NA,NA,3.2034503462998,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88253371926595,2.25194635919257,2.77401673003553,3.03560956228252,NA,2.65632759300937,2.6583122863163,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.58407787710103,4.70870551233666,4.37959340844921,NA,3.22088743198672,3.20857868180413,NA,4.77398987255991,4.33329150814345,NA,3.04275776689258,3.0344721157315,NA,3.99775900177884,NA,2.46736942605043,2.48021579964359,NA,NA,1.28175728553706,1.38808402139648,NA,NA,NA,NA,2.77830823557865,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87729683656756,2.22736441557223,2.78594004925215,3.11495017177765,NA,2.71825235093365,2.71959427261751,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43736901789683,4.75786975453882,4.55751450937152,NA,3.33181330804077,3.31704307276432,NA,4.92575936829258,4.58471933624725,NA,3.18734907045358,3.17523557199949,NA,4.32506324046311,NA,2.60957500208802,2.61747244095411,NA,NA,1.28056458893402,1.38856892521753,NA,NA,NA,NA,2.80072779875357,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93893238214207,2.2400758030687,2.85756060858397,3.25367715661272,NA,2.81250141051217,2.8076384578746,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14121828561419,4.85115970506938,4.7860965108314,NA,3.44985718021648,3.42381913279222,NA,5.22305211302121,4.93211780765766,NA,3.35951622851382,3.33301289791523,NA,4.71061048076902,NA,2.74015570650385,2.73079646838229,NA,NA,1.21361949653955,1.30598181078038,NA,NA,NA,NA,2.51362093087214,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0103945015702,2.25026388423351,2.91990817805334,3.38946614885524,NA,2.89849692174703,2.88218383923071,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76457846643479,4.89372695640827,4.99686259886564,NA,3.54645625089608,3.500551498295,NA,5.4852148445127,5.27589160006251,NA,3.51795396983714,3.46713175589852,NA,5.11652011488864,NA,2.8641196474619,2.82411716529496,NA,NA,1.11915654667231,1.1743413261123,NA,NA,NA,NA,1.89588342943811,NA
