"TRANSECT","01/01/1855 12:00:01 AM","01/01/1867 12:00:01 AM","08/01/1924 12:00:01 AM","10/01/1924 12:00:01 AM","11/24/1933 12:00:01 AM","05/12/1951 12:00:01 AM","04/18/1974 12:00:01 AM","12/29/2002 12:00:01 AM","11/25/2003 12:00:01 AM","03/01/2006 12:00:01 AM"
44,NA,-422.009025358677,NA,-268.489504735226,-192.836200559395,-196.383701349066,-210.247766061156,-7.2105462728876,NA,NA
45,NA,-379.162189777779,NA,-227.675723930626,-148.489768353714,-148.715377398099,-156.222925183298,-24.9531153762335,NA,NA
46,NA,-333.55375103274,NA,-184.077038156974,-107.893417446107,-100.15878476388,-100.59590540938,-11.0779729020911,NA,NA
47,NA,-289.002014966624,NA,-144.28631169749,-71.9779116988284,-51.4603295508643,-41.6835103613347,-9.5311329842407,NA,NA
48,NA,-268.587946255581,NA,-127.48989135465,-66.8493902053389,-30.1883303547619,-5.6218313791454,-36.3064471464271,NA,NA
49,NA,-298.334059485118,NA,-165.680999046577,-120.739762126307,-66.9490047232515,-6.8913153689552,-116.216258418026,NA,NA
50,NA,-295.768431508626,NA,-175.978525931383,-141.366688116769,-131.174932339847,-5.6123848763573,-164.108028748478,NA,NA
51,NA,-254.12356791135,NA,-143.614592397116,-119.205466431809,-130.413254378211,-24.348663403304,-148.014890251155,NA,NA
52,NA,-204.936911253124,NA,-96.5202340736266,-74.4112134719436,-89.709162767377,-65.8811973118199,-104.588629536323,NA,NA
53,NA,-155.356236012305,NA,-47.2636540584446,-25.5109178135844,-41.4227044762313,-17.5907491880523,-55.9002347085702,NA,NA
54,NA,-115.288788964407,NA,-17.7267190400478,-6.3233296056673,-37.7331190127815,-11.0911873975506,-43.2155744929726,NA,NA
55,NA,-84.4034913352083,NA,-10.8584264751856,-6.4414752590955,-49.9802865669711,-28.0648373916179,-48.2247283062306,NA,NA
56,NA,-54.362958303982,NA,-12.6659269284363,-5.5750269809097,-40.118290832096,-32.0068353852237,-43.3417827260149,NA,NA
57,NA,-38.3680819602164,NA,-9.3180917762412,-5.0316887860015,-31.9498329468808,-32.6890402514255,-42.0190510767841,NA,NA
58,NA,-9.5236265154741,NA,-13.3560570245021,-5.0234784744057,-22.9015242936801,-37.9407236854113,-45.1881752103258,NA,NA
59,NA,-5.280876714472,NA,-29.2640672657743,-20.2762851021555,-35.4409066032219,-56.3934466646066,-62.6966908888284,NA,NA
60,NA,-5.0946625353133,NA,-39.8624864094027,-34.0812694531473,-51.1132169908242,-71.9438572934884,-77.14225844679,NA,NA
61,NA,-5.0998001286363,NA,-46.8716162920078,-44.0960603475368,-62.884146923212,-84.1621746341451,-86.9845166521989,NA,NA
62,NA,-5.0108071532618,NA,-53.3882310472119,-56.3720176053294,-71.980447659462,-92.9397547100327,-89.946268839325,NA,NA
63,NA,-5.0055904010544,NA,-61.5842133770078,-64.2546911664412,-80.6622476522543,-95.6547577794821,-84.1620662487874,NA,NA
64,NA,-5.2949994813515,NA,-71.2186334087017,-65.9135502337269,-85.0644402572799,-84.9605062830638,-71.1323608573514,NA,NA
65,NA,-5.0694761744262,NA,-64.1385311763629,-61.5446987484254,-75.4592190675403,-60.0679011098282,-54.7512371607376,NA,NA
66,NA,-5.27571772329,NA,-58.5223213477629,-48.7138999884258,-58.6233863877597,-11.8481663272563,-29.0071814833889,NA,NA
67,NA,-16.0732269878235,NA,-40.3138673756809,-35.5593914705015,-35.8997026277303,-5.298397399651,-9.9672631694157,NA,NA
68,NA,-6.450062764538,NA,-18.1303844835081,-10.1775260074307,-15.0482894874428,-5.959141452484,-10.6637910175655,NA,NA
69,NA,-31.1136497368221,NA,-43.3942202133725,-35.3977589293649,-40.5197556686696,-32.5298878268285,-36.8172775946562,NA,NA
70,NA,-6.4376574599829,NA,-79.3972628269398,-70.9886543064299,-77.4787379091551,-75.0317220564762,-79.3731168920075,NA,NA
71,NA,-5.0175446702656,NA,-88.0210033807837,-80.581606186224,-88.1011143310097,-91.7917477782257,-93.0867608970911,NA,NA
72,NA,-5.0068131878219,NA,-44.5962914856808,-109.892669624838,-73.2254994349587,-78.2204153135866,-64.6251263743978,NA,NA
73,NA,-11.6424128765031,NA,-56.6564706736466,-98.3397962092624,-80.2487722436099,-82.094345645977,-87.0533700651613,NA,NA
74,NA,-5.2712246871054,NA,-31.09004702849,-64.9689040077835,-49.5633673941842,-51.0821892378543,-48.3128089348304,NA,NA
75,NA,-5.1168629276181,NA,-36.3295479664233,-75.0636629738232,-36.1346809580172,-53.2750774416845,-48.5261749623213,NA,NA
76,NA,-5.0289688555271,NA,-30.1951026234827,-66.9091968489282,-46.0929951630275,-42.322835131717,-46.8904649920948,NA,NA
77,NA,-5.1327830517972,NA,-28.2833046583923,-70.470525188764,-35.0258085308027,-46.7783979397668,-34.9960662166631,NA,NA
78,NA,-5.8118177112838,NA,-31.0949187908039,-92.1502164329244,-39.7960723761525,-44.0427762858913,-49.5438024943828,NA,NA
79,NA,-5.8308071906127,NA,-24.6958204140212,-77.4062106673126,-49.1794479305419,-20.1392818515707,-36.4103631989867,NA,NA
80,NA,-5.4085620492331,NA,-32.8886179599318,-76.5099313716884,-43.0677384522645,-33.8346198017812,-41.1414103906453,NA,NA
81,NA,-8.0795692826733,NA,-14.1062851719027,-63.0864720085849,-16.3105852228498,-8.5565830062855,-27.2342953970836,NA,NA
82,NA,-5.0833189165542,NA,-25.1419432416082,-73.6537875677701,-43.6741495971499,-55.6550975114507,-50.5532636903851,NA,NA
83,NA,-5.0000004302782,NA,-27.3551183926889,-69.2447792959776,-65.3672457891964,-17.5756324090059,-40.2070866631401,NA,NA
84,NA,-5.4918120562134,NA,-37.1501193562434,-82.2160284528034,-79.4923471222171,-44.3726788061054,-54.2689597012866,NA,NA
85,NA,-6.0179059723474,NA,-37.967541935984,-89.6604819254935,-77.1409258281712,-43.6070567914043,-62.8628909070511,NA,NA
86,NA,-5.0090499190832,NA,-43.8639072380181,-81.9520964978419,-19.7492112837424,-35.8323690261297,-41.5946702105031,NA,NA
87,NA,-5.0196192491762,NA,-53.3304421974964,-93.1524256937092,-67.7616070620305,-70.0961516216991,-74.1109679817133,NA,NA
88,NA,-5.0992213705745,NA,NA,-89.4564408115346,-89.1174256737701,-89.4465260100326,-86.2541036227584,NA,NA
89,NA,-5.0135197253308,NA,-74.9586862896948,-80.5414226419312,-79.2764118446725,-58.4598244737261,-53.4378216683677,NA,NA
90,NA,-5.0626855726488,NA,-56.9110597892834,-64.0756391922309,-59.912823750234,-61.2823413457012,-57.0197442108717,NA,NA
91,NA,-5.5548236570615,NA,-59.7461359819858,-67.7931273450236,-67.4458935015553,-62.765856030561,-71.2806946046505,NA,NA
92,NA,-5.2141744879226,NA,-25.3983011716286,-62.156372458486,-53.9860928360044,-46.5616231223003,-62.7129067026319,NA,NA
93,NA,-5.0687364066662,NA,-10.8804351041193,-63.3941354894232,NA,-35.1154679038509,-38.293084760587,NA,NA
94,NA,-5.4239933000136,NA,-40.2753262562166,-98.1894590919475,-66.3990753465737,-69.6663814089773,-70.9958938718609,NA,NA
95,NA,-7.7582692956204,NA,-22.7278246455106,-76.5102623706365,-49.9276944007257,-56.3163451121501,-52.052781001882,NA,NA
96,NA,-9.4514882519243,NA,-5.1675871498806,-44.6998219572657,-25.6146750731562,-26.8108115109951,-18.6265682169791,NA,NA
97,NA,-17.2932805932723,NA,-37.0150823140355,-60.7706001571484,-59.6358841416489,-45.9396992170645,-58.3071709705488,NA,NA
